NOTE! ONLY USE TRIALS 3 AND 4 FOR SOURCE
Sweeping current Ix for 3 values of Iy
Trial 1 for input current Ix
Ix, Iz
1.148e-05,-0.01154
1.349e-05,-0.0135
1.585e-05,-0.0158
1.862e-05,-0.01844
2.19e-05,-0.02036
2.57e-05,-0.02036
3.02e-05,-0.02036
3.55e-05,-0.02036
4.17e-05,-0.02036
4.9e-05,-0.02036
5.755e-05,-0.02036
6.76e-05,-0.02036
7.945e-05,-0.02036
9.335e-05,-0.02036
0.00010965,-0.02036
0.0001288,-0.02036
0.00015135,-0.02036
0.00017785,-0.02036
0.000209,-0.02036
0.0002455,-0.02036
0.0002885,-0.02036
0.000339,-0.02036
0.000398,-0.02036
0.0004675,-0.02036
0.0005495,-0.02036
0.0006455,-0.02036
0.0007585,-0.02036
0.0008915,-0.02036
0.001047,-0.02036
0.0012305,-0.02036
0.0014455,-0.02036
0.001698,-0.02036
0.0019955,-0.02036
0.002345,-0.02036
0.002755,-0.02036
0.003235,-0.02036
0.0038,-0.02036
0.004465,-0.02036
0.00525,-0.02036
0.006165,-0.02036
0.007245,-0.02036
0.00851,-0.02036
0.01,-0.02036
Trial 2 for input current Iy
Iy, Iz
1e-09,-0.02036
1.15e-09,-0.02036
1.4e-09,-0.02036
1.6e-09,-0.02036
1.9e-09,-0.02036
2.25e-09,-0.02036
2.65e-09,-0.02036
3.1e-09,-0.02036
3.65e-09,-0.02036
4.25e-09,-0.02036
5e-09,-0.02036
5.9e-09,-0.02036
6.9e-09,-0.02036
8.15e-09,-0.02036
9.55e-09,-0.02036
1.12e-08,-0.02036
1.32e-08,-0.02036
1.55e-08,-0.02036
1.82e-08,-0.02036
2.14e-08,-0.02036
2.51e-08,-0.02036
2.95e-08,-0.02036
3.465e-08,-0.02036
4.075e-08,-0.02036
4.785e-08,-0.02036
5.625e-08,-0.02036
6.605e-08,-0.02036
7.76e-08,-0.02036
9.12e-08,-0.02036
1.0715e-07,-0.02036
1.259e-07,-0.02036
1.479e-07,-0.02036
1.738e-07,-0.02036
2.04e-07,-0.02036
2.4e-07,-0.02036
2.82e-07,-0.02036
3.31e-07,-0.02036
3.89e-07,-0.02036
4.57e-07,-0.02036
5.37e-07,-0.02036
6.31e-07,-0.02036
7.415e-07,-0.02036
8.71e-07,-0.02036
1.0235e-06,-0.02036
1.2025e-06,-0.02036
1.4125e-06,-0.02036
1.6595e-06,-0.02036
1.95e-06,-0.02036
2.29e-06,-0.02036
2.69e-06,-0.02036
3.16e-06,-0.02036
3.715e-06,-0.02036
4.365e-06,-0.02036
5.13e-06,-0.02036
6.025e-06,-0.02036
7.08e-06,-0.02036
8.32e-06,-0.02036
9.77e-06,-0.02036
1.148e-05,-0.02036
1.349e-05,-0.02036
1.585e-05,-0.02036
1.862e-05,-0.02036
2.19e-05,-0.02036
2.57e-05,-0.02036
3.02e-05,-0.02036
3.55e-05,-0.02036
4.17e-05,-0.02036
4.9e-05,-0.02036
5.755e-05,-0.02036
6.76e-05,-0.02036
7.945e-05,-0.02036
9.335e-05,-0.02036
0.00010965,-0.02036
0.0001288,-0.02036
0.00015135,-0.02036
0.00017785,-0.02036
0.000209,-0.02036
0.0002455,-0.02036
0.0002885,-0.02036
0.000339,-0.02036
0.000398,-0.02036
0.0004675,-0.02036
0.0005495,-0.02036
0.0006455,-0.02036
0.0007585,-0.02036
0.0008915,-0.02036
0.001047,-0.02036
0.0012305,-0.02036
0.0014455,-0.02036
0.001698,-0.02036
0.0019955,-0.02036
0.002345,-0.02036
0.002755,-0.02036
0.003235,-0.02036
0.0038,-0.02036
0.004465,-0.02036
0.00525,-0.02036
0.006165,-0.02036
0.007245,-0.02036
0.00851,-0.02036
0.01,-0.02036
Trial 3 for input current Iy
Iy, Iz
1e-09,-0.02036
1.15e-09,-0.02036
1.4e-09,-0.02036
1.6e-09,-0.02036
1.9e-09,-0.02036
2.25e-09,-0.02036
2.65e-09,-0.02036
3.1e-09,-0.02036
3.65e-09,-0.02036
4.25e-09,-0.02036
5e-09,-0.02036
5.9e-09,-0.02036
6.9e-09,-0.02036
8.15e-09,-0.02036
9.55e-09,-0.02036
1.12e-08,-0.02036
1.32e-08,-0.02036
1.55e-08,-0.02036
1.82e-08,-0.02036
2.14e-08,-0.02036
2.51e-08,-0.02036
2.95e-08,-0.02036
3.465e-08,-0.02036
4.075e-08,-0.02036
4.785e-08,-0.02036
5.625e-08,-0.02036
6.605e-08,-0.02036
7.76e-08,-0.02036
9.12e-08,-0.02036
1.0715e-07,-0.02036
1.259e-07,-0.02036
1.479e-07,-0.02036
1.738e-07,-0.02036
2.04e-07,-0.02036
2.4e-07,-0.02036
2.82e-07,-0.02036
3.31e-07,-0.02036
3.89e-07,-0.02036
4.57e-07,-0.02036
5.37e-07,-0.02036
6.31e-07,-0.02036
7.415e-07,-0.02036
8.71e-07,-0.02036
1.0235e-06,-0.02036
1.2025e-06,-0.02036
1.4125e-06,-0.02036
1.6595e-06,-0.02036
1.95e-06,-0.02036
2.29e-06,-0.02036
2.69e-06,-0.02036
3.16e-06,-0.02036
3.715e-06,-0.02036
4.365e-06,-0.02036
5.13e-06,-0.02036
6.025e-06,-0.02036
7.08e-06,-0.02036
8.32e-06,-0.02036
9.77e-06,-0.02036
1.148e-05,-0.02036
1.349e-05,-0.02036
1.585e-05,-0.02036
1.862e-05,-0.02036
2.19e-05,-0.02036
2.57e-05,-0.02036
3.02e-05,-0.02036
3.55e-05,-0.02036
4.17e-05,-0.02036
4.9e-05,-0.02036
5.755e-05,-0.02036
6.76e-05,-0.02036
7.945e-05,-0.02036
9.335e-05,-0.02036
0.00010965,-0.02036
0.0001288,-0.02036
0.00015135,-0.02036
0.00017785,-0.02036
0.000209,-0.02036
0.0002455,-0.02036
0.0002885,-0.02036
0.000339,-0.02036
0.000398,-0.02036
0.0004675,-0.02036
0.0005495,-0.02036
0.0006455,-0.02036
0.0007585,-0.02036
0.0008915,-0.02036
0.001047,-0.02036
0.0012305,-0.02036
0.0014455,-0.02036
0.001698,-0.02036
0.0019955,-0.02036
0.002345,-0.02036
0.002755,-0.02036
0.003235,-0.02036
0.0038,-0.02036
0.004465,-0.02036
0.00525,-0.02036
0.006165,-0.02036
0.007245,-0.02036
0.00851,-0.02036
0.01,-0.02036
